user_id,name,city,total_spent,avg_spent,transactions_count,unique_categories
00030fa7-acdf-48ba-883b-142ce8569150,Nadia Akhannouch,Ksar El Kebir,17471.74,2495.9628571428575,7,5
00039102-e1b1-4249-8009-46fc40ddc0d8,Salma Kharbouch,Salé,3567.11,3567.11,1,1
0004b91d-1930-4fb6-8746-1f1e02a396b3,Rajae El Amrani,Mohammedia,6598.8,2199.6,3,3
000ecfeb-acd4-4d81-b26e-682c05dc1d9f,Abderrahmane Haddadi,Taroudant,11233.130000000001,1872.1883333333335,6,3
0012bd65-d00e-4a19-918c-f87d5213638c,Malika Boujemaa,Chefchaouen,15563.5,3890.875,4,3
001a2162-605d-48c5-aca8-6a00b3ab2974,Hajar Haddadi,Tetouan,4543.59,1135.8975,4,3
0021fd06-899a-47d8-843c-0138f5eff9b2,Ilyas Bourkadi,Guelmim,9212.02,3070.6733333333336,3,1
00243254-1da7-44ce-9812-e09678a5096b,Asmae El Amrani,Mohammedia,21566.62,4313.324,5,4
0025d978-b19f-4f13-9704-b5e7b2e68df3,Hanane Boujemaa,Agadir,15340.62,3835.155,4,3
002ada8c-98ad-487c-8aad-25e98467ea15,Jamal Bousfiha,Larache,13341.029999999999,3335.2574999999997,4,3
003106a0-0fe4-4ea4-bf28-eed2256a78cc,Wafae Khalfi,Mohammedia,5269.89,2634.945,2,1
0033ee25-445e-4a55-9f10-926e0305c905,Hassan El Mokhtar,Mohammedia,3950.16,3950.16,1,1
0044587e-635b-46cb-8708-7f64a1099300,Rajae Sbai,Ifrane,27525.35,3058.3722222222223,9,4
004f7b1a-ca00-497a-b92b-8df4079c1492,Abdellah Bouazza,Ksar El Kebir,9086.039999999999,2271.5099999999998,4,3
0075f9d6-69c7-4d89-af36-3fa33a97158c,Yasmina Bennani,Berkane,815.02,407.51,2,2
0080e1e2-ae4d-48ba-9431-b43580b6c0cd,Abdellah Sadik,Sidi Kacem,9007.21,2251.8025,4,3
008cfa0f-644b-4c04-8699-7fd5a9aafda7,Khalil Boujemaa,Tetouan,11242.029999999999,2810.5074999999997,4,2
0091f37d-2056-40e6-a070-11b70b27482f,Aya Faris,Midelt,11736.36,2934.09,4,3
0095a261-3c32-4122-8736-91a52eb4a026,Abderrahmane Jaafari,Sidi Kacem,1638.21,546.07,3,3
009c3df5-a904-4b31-8ba3-0e02ef9ba1e7,Soufiane Haddadi,Taroudant,13521.82,2704.364,5,3
009f38b4-6c7a-4ab4-b41a-e0a4a4db0dc8,Loubna Laamiri,Taza,5096.68,2548.34,2,2
00a6be42-708f-4c0f-b345-320cd0ac0377,Ayoub Bouazza,Nador,5682.709999999999,1136.542,5,3
00ae55b1-96a4-493d-aa15-2de338e78ebc,Sanaa Sekkat,Ouazzane,15910.329999999998,3182.066,5,3
00ae6551-104e-4b7d-86ee-3dea4f915631,Siham Laamiri,Laayoune,7304.74,2434.9133333333334,3,2
00bb121d-6c20-4b20-9588-48cdfcdbf72f,Najwa Maazouzi,Laayoune,6445.17,1611.2925,4,3
00c35e79-765f-48db-bb43-ab520c934900,Loubna Lamrabet,Berkane,11102.18,2220.436,5,3
00d3aaee-ed53-4ab1-89a8-a2e2622813be,Nadia Kharbouch,Oujda,7536.68,1884.17,4,3
00f5f9c2-9255-4c5a-a713-0d8e464ed008,Souad El Mernissi,Tetouan,8571.029999999999,4285.514999999999,2,2
00fa055a-7c49-4304-bda1-187d5aab7317,Latifa Jaafari,Fes,17198.51,2149.81375,8,4
00fd4109-333e-425e-993d-181494459293,Ilyas Bourkadi,Guelmim,13812.23,3453.0575,4,3
0105d68f-4077-469e-acbd-7585b9b60e0d,Sara Faris,Dakhla,25210.53,3601.5042857142857,7,4
0125abbe-7906-407b-9770-204021351a2b,Hassan Boujemaa,El Jadida,4126.16,2063.08,2,1
014cb656-0536-49f3-8fb5-de9b6fb4f2cc,Khadija Outaleb,Agadir,5118.49,2559.245,2,2
015c24fa-43f5-439b-8dc4-553f306ee501,Farah Bennani,Kenitra,24078.82,3009.8525,8,5
015d4dcd-5b05-4411-8c44-3707ce888e2e,Ilyas Bousfiha,Oujda,4834.61,4834.61,1,1
016651b2-5dce-45bc-991c-583bb4a94fbf,Jamal Maazouzi,Taza,9520.16,2380.04,4,4
016b36f0-ee0a-491f-be5d-116accb379ba,Samira Ziani,Marrakech,6298.95,2099.65,3,3
018103e2-aa84-43be-b859-27d91ce1b54b,Salma El Mernissi,Beni Mellal,9154.98,1830.9959999999999,5,4
0186f9d2-d644-4df9-ae65-ff3f0f7964f4,Khalil Sekkat,Laayoune,10601.3,3533.7666666666664,3,3
01913fa7-a82e-4167-bc54-d3ae64b6edd8,Abdelkader Tazi,Azrou,11324.869999999999,2831.2174999999997,4,3
01927d49-1d36-45d5-b2e0-a8682b2cf6f9,Farah Chaouki,Tetouan,4072.1899999999996,1357.3966666666665,3,2
01966006-dff3-46ff-a356-5389c990b145,Amal Essalhi,Al Hoceima,5897.76,1965.92,3,2
01a5b83d-5e43-4a7a-9b46-c48378b177e6,Khadija Lamrabet,Oujda,7776.07,1944.0175,4,4
01b9e87e-7906-42a0-a7d2-4dc91bae41c9,Hamza El Amrani,Laayoune,10475.19,3491.73,3,3
01c173c5-2209-4ad6-a34a-be46b8b48684,Souad Fassi,Casablanca,11207.33,2801.8325,4,3
01c963a8-c283-493d-8338-736ba01e8b0b,Soukaina Ghallab,Agadir,586.82,586.82,1,1
01d2c090-295f-4cda-9a69-033500e41275,Aya Hadda,Tangier,12088.060000000001,2417.612,5,4
01d6c660-5c46-4d31-a6bd-93bbb97e4f2b,Reda Bourkadi,Sidi Kacem,3851.04,1925.52,2,2
01d94d3e-e84c-449e-ad86-6a8e2f036003,Mustapha Sbai,Azrou,22247.22,3707.8700000000003,6,3
01f17ced-031c-40ef-b8f6-d4e0431edf14,Wafae Mahmoudi,Laayoune,8572.59,1224.6557142857143,7,4
01f2539e-73dc-4dfb-8c79-adce49a4bf41,Hajar Bennani,Ouarzazate,11835.93,2367.186,5,4
01f44037-bf3a-41af-a847-f1096a92b488,Salma El Mernissi,Agadir,4883.41,4883.41,1,1
020edccf-06b0-4cee-9ec4-659a13dd556f,Samir Essafi,Fes,16319.13,2719.855,6,5
02278d39-9bd4-48e4-8ab7-9c3dd67ed396,Abderrahmane El Khouli,Chefchaouen,21414.739999999998,3059.2485714285713,7,3
022ead25-87c3-4b8a-9da8-66015419529f,Latifa Chami,Oujda,7293.71,1823.4275,4,2
023a467f-664c-4b57-ba6d-4fede476df0d,Hassan Lamrabet,Kenitra,29775.52,2977.552,10,4
023d46c7-1e78-490b-b285-35749dc9312c,Yasmina El Mernissi,Essaouira,9859.79,2464.9475,4,3
0260dfe1-e7a2-4dc5-b148-a2ec4745365c,Sanaa Zerouali,Safi,16335.970000000001,4083.9925000000003,4,3
026bd2f0-71ca-4574-9c14-6381fe400b21,Najwa Bouraoui,Ifrane,4786.3099999999995,2393.1549999999997,2,1
026d1ff9-3363-4977-acba-95072914b00a,Zineb Ouazzani,Ouazzane,10598.789999999999,2649.6974999999998,4,3
026d6c66-09d5-43db-a840-324b1f2e5cea,Siham Sbai,Sidi Kacem,11008.83,3669.61,3,2
027acb4f-3d4e-4a83-b042-6a578cdf1dc6,Ayoub Alaoui,Tangier,14757.1,3689.275,4,3
0289517d-842a-4b9b-b006-b364ad27af86,Tariq Outaleb,Mohammedia,7371.52,1474.304,5,3
0290d845-e86f-46d4-8afe-c729925b30a3,Youssef Kharbouch,Settat,11862.490000000002,2965.6225000000004,4,3
029c74e6-e21b-45d6-9710-27c4fbd31393,Hakim Bahmad,Safi,5277.35,2638.675,2,2
02a60f0e-dfed-40c2-8932-4cd4e8d30f55,Brahim Khalfi,Beni Mellal,10232.04,2046.4080000000001,5,3
02a65568-bc2d-4699-bd1f-f96eccb0eef0,Ali Akhannouch,Khouribga,12735.35,1819.3357142857144,7,4
02ab34c1-77f5-42c0-957f-61b40fdcaa03,Wafae Bourkadi,Mohammedia,20952.67,2993.238571428571,7,5
02c58b07-621e-49a0-9aba-e93bde63b811,Siham Bouraoui,El Jadida,12095.58,3023.895,4,2
02cc61dc-cbea-4013-94dc-0bb9cfdffcaf,Nisrine Tazi,Azrou,20133.86,2013.386,10,4
02cd3df8-1545-4400-8ba7-e284f06b5685,Samira Bouazza,Casablanca,6328.19,1265.638,5,4
02d74f11-97b7-4a94-b6ec-f384a3ba49f6,Youssef El Mernissi,Salé,17727.48,2954.58,6,4
02db3c47-135a-416e-9652-78b1ac5d5e7d,Jamal Sadik,Fes,9827.99,2456.9975,4,3
02e7b36a-bc3f-4494-8c6f-6d3e41d3a229,Noureddine El Idrissi,Dakhla,21193.33,2649.16625,8,5
02eb546b-bfaa-4d79-8458-453c71332e7b,Yasmina Chaouki,Khouribga,16870.11,1874.4566666666667,9,5
02ef749c-3236-4631-8590-77cd092a0a5c,Aya Bourkadi,Oujda,17735.14,2955.8566666666666,6,5
02f65c53-44ac-49d4-9a13-36633acdbdc9,Loubna Bouraoui,Laayoune,6128.030000000001,2042.676666666667,3,2
02f66827-682d-44e3-a8c9-7cb2d711664f,Soufiane Boujemaa,Ifrane,19923.87,2846.2671428571425,7,3
0300221a-189b-4b7c-8d8c-6c2d96c8a9bb,Aziz El Amrani,Tangier,7399.349999999999,3699.6749999999997,2,1
03030bd1-6c1f-409a-998f-425b5e095195,Hajar Mahmoudi,Oujda,11382.17,2276.434,5,4
030ec095-7f99-4c8d-b5fe-2bc0c7df7b16,Hakim Zerouali,Dakhla,1166.6499999999999,583.3249999999999,2,1
0324c469-f1ad-498f-bb81-2c98300e5177,Samir Bourkadi,Settat,7628.89,1525.778,5,3
03395605-9592-4926-b943-1c420ef3a8e8,Sara Bennani,Taza,14183.15,2836.63,5,3
033c4cb8-12a9-4e5d-a749-207458300eed,Yasmina Sekkat,El Jadida,21011.1,3501.85,6,4
